Effective Refractance index n(r,f). f =  2.00000000000000000Mode #  1
Радиус 	                n(r,f) 	
2.64500000000000006E-1	1.16657790460671415E+0	
2.65000000000000006E-1	1.16654451321806578E+0	
2.65500000000000006E-1	1.16651106192277951E+0	
2.66000000000000006E-1	1.16647754364983591E+0	
2.66500000000000006E-1	1.16644395839923499E+0	
2.67000000000000006E-1	1.16641030617097674E+0	
2.67500000000000006E-1	1.16637659403608059E+0	
2.68000000000000006E-1	1.16634281055339678E+0	
2.68500000000000006E-1	1.16630896009305564E+0	
2.69000000000000006E-1	1.16627505409620694E+0	
2.69500000000000006E-1	1.16624106531042082E+0	
2.70000000000000006E-1	1.16620702805914655E+0	
2.70500000000000006E-1	1.16617291675919554E+0	
2.71000000000000006E-1	1.16613873411145686E+0	
2.71500000000000006E-1	1.16610449155708028E+0	
2.72000000000000006E-1	1.16607018202504637E+0	
2.72500000000000006E-1	1.16603580551535514E+0	
2.73000000000000006E-1	1.16600136909902601E+0	
2.73500000000000006E-1	1.16596685863402013E+0	
2.74000000000000006E-1	1.16593229096326544E+0	
2.74500000000000006E-1	1.16589764924383399E+0	
